screen_name,statuses
slupdawg,"['@kazweida And who the hell buttons both jacket buttons?', 'Beg to differ. Trump is so malignant he’s incapable of even feigning an emotional connection. It’s impossible to tr… https://t.co/TLchkyPsJ9', '@BradTakei @GeorgeTakei That Manny looks pretty damn happy...for now.', '@RepSamGraves It was predictable that you and the rest of the scum you caucus with would vote to give tax cuts to p… https://t.co/9tGCli2uJ1', '@HoarseWisperer Say what you want, but he’s in the penalty box, paying his penance for being a lying sack, and he k… https://t.co/SRThSuMp9M']"
ErikMCarson,"['@ambertamblyn 🔥', ""@JimmyTeton @LIngenieurNoir @JackPosobiec @Comey Just because your dear leader says its bogus doesn't make it so.""]"
skywest1515,[]
PlaygroundPr001,"['Channeling Georgia O’Keefe at a recent book club gathering to discuss the artistic love affair in “Georgia”.  Great… https://t.co/2ksSF3DU89', '@Chancellorpink It was a wonderful experience.  Long hours but really fun.', '@Chancellorpink Great comments.', '@Chancellorpink Did you like it?', '@Chancellorpink Wow. Totally.  That show looks great.']"
GGMatsheke,['It’s such a Monday.']
JDignum,['@C_Stroop @MollyMcKew Let’s all remember where the expression *opiate of the masses* came from.']
ka_dinata,"['@robby_cptdigi Sip dah....!!!', 'Terimakasih atas kebaikan-kebaikan kamu.']"
SasaJantjies,"['My king https://t.co/nf7huxwBio', 'I want to play. Play with me beloved https://t.co/SnBUViqK5y', 'You guys just want me to die https://t.co/kdgdNTcpxN', 'Hbffsrghjkkkkb https://t.co/xDOYhtuDid', 'Congratulations. You deserve this. All the best 💫 https://t.co/6yQsg8yP4v']"
CoolGuyTexas_XO,['Resource Action Programs is looking for: Program Manager Special Projects\nhttps://t.co/up5VmqNik7 #job']
CambridgeBears,"['Boys Varsity Lacrosse Wins 5th Straight in Solid Outing Against Northview, Thursday, March 29th https://t.co/YhLlRwqhO0', 'Cambridge Swim &amp; Dive Team Year in Review 2017-18 - https://t.co/mvIcyKACdN', 'Cambridge Gymnastics Year in Review 2017-18 -  https://t.co/pTvu6mx3Hx', 'Varsity Track &amp;amp; Field Excels in Last Regular Season Meet at Creekview, Wednesday, April 11th https://t.co/TIwNgAbXMg', 'Cambridge Baseball Beats North Atlanta 12-2, Moves to 8-5 in Region, Friday, April 13 https://t.co/gNTmQWJcSu']"
Elfish_Jewel,"['Pasando el tiempo escribiendo @SJofficial con las hojas 😅\nUn poco enamorada de los viejos naaahh \n#MTVLAKPOPSJ… https://t.co/q4edyGG2uI', 'Bebito  💓\n#MTVLAKPOPSJ #PremiosMTVMiaw\n@SJofficial https://t.co/qlba0HrJe6']"
StuLittle1972,"['@ShaweEsther @EEAST_SLMMidEsx @joshparamedic @EastEnglandAmb @EEAST_CFRS I heard @EEAST_SLMMidEsx was making the tea 😜', '@EEAST_SLMMidEsx @joshparamedic @EastEnglandAmb @EEAST_CFRS I’m at Chelmsford on the 3rd as @ShaweEsther is hosting our Scouts', '@EEAST_SLMMidEsx @joshparamedic @EastEnglandAmb @EEAST_CFRS Had hoped to make it but the day job got in the way 🙄', '@Steapp10 I’d have a word with the local eho,  fires on sites stopped years ago and lack of appropriate toilet faci… https://t.co/1D8VAttIql', '@jojojeje Goretex or a decent umbrella']"
megwyckoff,['@The_UnSilent_ @GOP @GOPChairwoman @realDonaldTrump @GOPChairwoman sinks to the lowest and takes @MittRomney with her.']
sofmarla,"['@TalksMachina #AskTalksMachina everyone pitched in a little to play Jester this episode. Is there any character of… https://t.co/UXPlTRIPjm', '""Mañana quiero dormir hasta el Lunes"" —Mi roomie con el #mood de la noche.', '@andyoyo Sí, pero este no lo vi venir y me sacó de onda horrible 😂😂😂😂', '@Jennicz_barbosa Con tu nivel de energía y productividad, la armas seguro!']"
omen121,"['@DietCoke So it is meant to be spicy.', '@STARBURST_MAG ‘Jason Lives’ is my favourite.']"
dzangiewrites,"['ohmigod hi king 😍 https://t.co/uhYlnwoW5k', ""*after i reach 25k words lol i'm gonna finish Nano"", 'ngl continuing this thing is sapping my energy. throw the whole book away 😣 https://t.co/OkJw46aRCU', ""and i never realised how much i needed to hear those words. i can't explain the relief that came with that. he foun… https://t.co/5u5oWokbav""]"
PolishFootSlave,['@LizCashPrincess Yes Mistress']
paul_cude,[]
B88Mike,['Absolutely correct @wangerrrr\n You could pay @Kathleen_Wynne a million dollars to stay at home and have a chimp thr… https://t.co/cvPx0SsKfb']
raddesa05,"[""@brithume Brit why aren't you directing this tweet to Senator McConnell and Speaker Ryan. It's Congress job to fix… https://t.co/AlaQVpSoCS"", '@DRUDGE_REPORT Another person suffering from DTS', ""@StefanMolyneux @AnnCoulter I support the POTUS didn't damage my support"", '@realDonaldTrump Order them released or fire all the leaders', '@DRUDGE_REPORT Cut all federal funding']"
FrederickSeb,"['@AndreaEttori Vettel-Baku rientra nella categoria delle reazioni istantanee.\nHamilton a Melbourne nel 2009 fu un gr… https://t.co/WFfFZ4UttK', ""@AndreaEttori Ti direi Rossi Marquez ma non per l'incidente in Malesia ma per la premeditazione di Marc che fece di… https://t.co/iDnged9IhD""]"
wizpampy,['ตบเพลงตัวเองลงด้วยเพลงของตัวเองอีกที เออ ฟังเพลงเฮียให้เอียนกันไปเลยค่ะ https://t.co/SJSENBEm57']
panda_poo22,[]
ElSnail,['@zerohedge Look this happened after a cyber attack by would be Russian hackers. The timing is revealing']
mohalfur,['The vibe of that place.....definitely plan on making it rain https://t.co/hLU7kjhCrg']
Outspokenmallu,['ദ്രാവിഡ നാട് എന്താകുമോ എന്തോ? https://t.co/4FNA0hYbnH']
mdbilal80148199,"[""KKR vs DD Highlights, IPL 2018: Nitish Rana, Andre Russell Shine In KKR's 71-Run Win vs DD https://t.co/fahUiVnY09"", 'ipl', 'Xxx Porno Video https://t.co/iaIjFpWSxC via @wordpressdotcom', 'https://t.co/kiQc6yMuOe- babe, bdsm, si rambut coklat, kolej, susu getah , https://t.co/Za0o2S3n2t https://t.co/6ZjS9gtjXt', 'アラブ\u3000ポルノポルノ xnxx レビュー https://t.co/WuyMGbXG2L']"
hasan_ARS93,['Good job AUIS! 👍🏻👍🏻 https://t.co/JWg7ZsD8fy']
PamelaBongi,[]
capeannpainter,"['@FoxNews @LindseyGrahamSC Graham wont be happy till we are at war with Russia. ""The McCain Graham Doctorine"".', '@DailyCaller No matter what he thinks about The President to write a book and do interviews is a disgrace to the FBI again.', '@GMA @ABCWorldNews @Comey Gotta get the racism and metoo BS in there.\n Good going ""Self admitted LEAKER""', ""@mike_Zollo Swamp's a Draining"", '@Cernovich They put me away in a nice warm place for a few weeks for acting like this.']"
almonte___,"['The fuckery I see at this job sheesh', 'Ugh I feel so sick', 'Happy birthday 😘 @joylynnx_', 'My weekend was nuts I need to just go back to work already']"
Steeler_girl58,"['@RobbyMook Enjoyed your appearance on @CNN this AM!', 'Got away easy this time with only 4 inches of rain in my basement.  That lets our furnace, freezer and hot water ta… https://t.co/HMZdUDa8Yi', 'Pink ivory tusks - anti hunting https://t.co/R3bf1EnHoT']"
CPIJobsInc,"[""Are you in a job that you don't enjoy? Let CPI help you find a job you love. #JobHunting #MotivationalMonday… https://t.co/JGgKPrPWN4"", 'How To Ace An Interview https://t.co/Fc7GmMQzMa #HappyJobHunting #Staffing #Recruiting #JobInterviews', 'How To Ace An Interview: https://t.co/zPnKqjCsrP via @YouTube', 'Our client is #Hiring an Advanced Digital Signal Processing #DSP Systems #Engineer in  #Scottsdale #Arizona.CLICK H… https://t.co/Mjn0fXYcAh', 'Systems Administrator (Office 365) job at Contract Professionals, … - Phoenix, AZ https://t.co/ccN7HQKGW2 #Indeed #jobs']"
lelizabethrose,"[""@HunzaChaudhary @SharfaShahid @Muhaddisah ya'll are my holy trinity of men are trash twitter - god bless"", ""it's a universal truth that anyone who's ever worked retail is humble by consequence""]"
RichardKutz,"['A new ep. of the podcast is now available here: https://t.co/VXlj7PdVOo and on iTunes and Google Play Music. In thi… https://t.co/sYTVSEzK9d', '#RLeeErmey #FullMetalJacket #ApocalypseNow #RIP https://t.co/jctEzPOCNW', 'Hey @netflix. Give @lostinspacetv a 2nd season now! DO IT NOW! #LostInSpace #SciFi #Netflix', ""Netflix's @lostinspacetv is a binge-worthy sci-fi spectacle worth experiencing with the whole family. It's a tense… https://t.co/7BUhSaZN69""]"
ForNiall1,['@Q100Atlanta @RachelRyanRadio Hey @RachelRyanRadio could you please play On the Loose by Niall Horan to make the da… https://t.co/uqgPfQQnwg']
BestInPrepASG,"['Crestwood Prep @Crestwood_Hoops G Zakayla Day-Wilson (5’2,2020) will participate in the Best in the Prep All Star G… https://t.co/hl3It2GN3b', 'TRC Academy @TRCwolfpack G Aaliyah Arab-Smith @AaliHoopzz will participate in the Best in the Prep All Star Game at… https://t.co/oPhJYbQUON', 'Blair Academy (NJ) @BlairAcademy_NJ SG Camille Clarin @camilleclarin (5’9, 2019) will participate in the Best in th… https://t.co/RFxhCsiKNM', 'Vaughan Prep @VaughanSSPREP G  Lireesa Gookhool-Jefferson (5’11, 2021) will participate in the Best in the Prep All… https://t.co/ibNXrZHjg1']"
mike47725919,"[""@USWNTADDICT17 Pugh had her best game since she's been on the INTL level it was against Denmark, plus she scored on… https://t.co/P9Nk0TNbdt"", ""@USWNTADDICT17 she's a much better club player tho, thats not even a question really."", 'no Rangers broken hearted about the AV move... speaks volumes https://t.co/tff4SPIi5p', ""@USWNTADDICT17 The other 2 have dominated on the INTL level at times tho, and against the worlds best, there's a bi… https://t.co/RNchv3k6NR"", '@USWNTADDICT17 eh maybe.. the midfield went to shambles for a while after Ertz and Mewis got hurt, I think it was m… https://t.co/CM0ZhZMP2X']"
CheyosWorld,"['@LarryEMcDaniel Yeah and that’s all adidas really cares about so fuck it sign him', '@LarryEMcDaniel He hasn’t been a pro for years and prob never will be again but adidas has had no problem signing o… https://t.co/RgJYiRQ6Sm', 'It makes sense why adidas would want to sign Kap. They been capitalizing off the culture. They were tho first ones… https://t.co/OPkJAjqJcN', '@LarryEMcDaniel I don’t think ppl care enough. They just wanna have a good time']"
majorkingdan,['@jctmw_ I’ll play with you?']
joadanso,"[""There's one in SWATL where a group of older men gather regularly to play chess. Meanwhile, one time at the one by P… https://t.co/BmVa3eUNv8"", ""One in Decatur is by far the nicest to people who just want to sit. They don't care if you buy anything; they'll le… https://t.co/8xOCCqEygr"", 'All of the talk around #Starbucks and racial bias makes me wonder if people in other cities pay attn to how their l… https://t.co/JFhSgECaIM']"
J3SSIC4,"['Also like I don’t wanna work with people born in 2002. Like where do I find jobs where babies aren’t working?', 'I feel like I already need a second job and I just left my second job a second ago..', 'But like, I’ve got shit to do. Like finishing planning my trip that’s happening in less than 10 days?!', 'I just wanna lay in my bed and be sad.', 'Coachella makes me mad because everyone looks so fucking ridiculous. Like why?! Stop trying so hard.']"
marcosdc998,[]
raincloudg,['@real__indian @dhruv_rathee @vivekagnihotri And Anupam Kher as Dr.Zhivago']
henrygalvin88,[]
RayLRiv,['@tulsacouncilgov If I’m not mistaken HOF and fellow @utulsa @TulsaFootball grad Steve Largent worked there']
ITzDeVz,"['FINAL FANTASY ALL THE BRAVEST is here! An easy-to-play adventure with massive battles awaits! #FF_ATB https://t.co/djAAheBAGD', '@628FSS my wife is coming to visit next month over the weekend is there any possible way for her to get her ID finally?', ""I've just baked 63,330,906,415 cookies in #CookieClickers2. Grandma will be proud of me!\nhttps://t.co/NqsViLlQwK"", ""I've just baked 2,094,793,679 cookies in #CookieClickers2. Grandma will be proud of me!\nhttps://t.co/NqsViL4f8a"", ""I've just baked 19,472,330 cookies in #CookieClickers2. Grandma will be proud of me!\nhttps://t.co/NqsViLlQwK""]"
leftcoastlefty5,"['@washingtonpost No surprise. https://t.co/09eLDqiZz9', '@ImagineWorldas1 He misspelled suppression.', ""@krassenstein Don't forget Michelle's sleeveless dress.""]"
volkstyles,"['@LynchOnSports @mma_kings Great find, James', '@ProFightLeague I’ll be looking at going to the card in D.C.! Can’t wait find out more', 'If you follow me you know I’m stoked for PFL and its potential for success. I believe as fans and media, we have a… https://t.co/C4lR4nsMRW']"
howardmegdal,['Oh that is hilarious. https://t.co/wcuTZuj6aN']
Tunes925,"['NEWS from @CarthageHosp \nhttps://t.co/1JrENgOgfm https://t.co/UiqshOTic9', '#NNY: Career Opportunity: Account Executive Position Available with Intrepid Broadcasting, Inc. (TUNES 92.5 &amp; 104.5… https://t.co/h8oHtuLIjR', 'Retweet to help fill my job: Account Executive - Advertising (Radio Station) @ Intrepid Broadcasting, Inc. - TUNES… https://t.co/ZK7oWs6S2w']"
elemcsherry,[]
MeekChirps,"['#MondayMotivation #BostonMarathon @POTUS @realDonaldTrump #America #1 @CNN #USA @FoxNews #MAGA @GOP… https://t.co/iVGE3wAU93', '#MondayMotivation @CNN #BostonMarathon @FoxNews\n#MAGA\n\n@POTUS @realDonaldTrump is doing a —TERRIBLE— #job at advanc… https://t.co/9ENUtF4LBp', ""#Refugees #ExtremeVetting #Veterans #AmericaFirst #CallofDuty #ACMawards\n\n#USA's Brave #Warriors and guarantors of… https://t.co/e9dK3xZjTd"", '#Comey @Comey #FBI @FBI #DoJ @TheJusticeDept @CNN @GOP @FoxNews\n\n(Effective) ""#AttorneyGeneral,"" #RodRosenstein: ""… https://t.co/54D1rx5oRk', '#MondayMotivation @FBI #BostonMarathon #FBI\n#Comey #ComeyInterview @ABC #GeorgeStephanopoulos @realDonaldTrump\n\n""Lo… https://t.co/PAamaXje42']"
claudivegavega1,[]
jcsthoughtdump,[]
WBW462,[]
Rociofdezlobato,['Mañana cojo un coche después de 3 meses y estoy : nerviosa']
ManishK81649521,"[""What's wrong with ur system. I m not able to request rides. I cancelled the rides coz cabs were not available &amp; I w… https://t.co/COMRqbObpf"", 'Keep voting guys...\nhttps://t.co/yXWOPIQIRu\n#YehUnDinonKiBaatHai', 'Upcoming episodes seems to be very - very exciting??? Are u also excited??????\n#YehUnDinonKiBaatHai \n#Samaina', ""Guys did u read the terms &amp; conditions, of this contest,. Love letter wale, jo @SonyTV conduct Kara Raha h..\nIt's a… https://t.co/SvhasONOXW"", ""@Uber_Support @Uber it's urgent""]"
ghoulieschool,"['Today’s a good day for a lunch time car nap https://t.co/L6xtAPF5JM', 'I wonder who Peter Dinklage is going to play in INFINITY WAR! I have my hopes, but I don’t wanna jinx it, so 🤐', 'Real question: What is the proper response to ""God bless you"" when it\'s the same context as ""Have a nice day"" as so… https://t.co/ig6qbFoNA7', ""Aller-jesus I'm sneezy"", 'COUNTDOWN TO INFIJITY WAR, COUNDOTN TO INFIRU WURR']"
libasiba,[]
VivianLambert59,"[""@mollie_Apso1 It's a horrible night here Mollie, very windy now, wet and dark too! 😔😔"", ""@PebbleTerrier @montysdognellie Can't come quickly enough Pebble. Doesn't look as if it will be very warm here but… https://t.co/C1wZjmiHE2"", '@ArchieLakeland @VenetiaJane @CamillaHH1 @mollie_Apso1 @montysdognellie Gorgeous Archie! 👏👏👏 Have some Euphorbia an… https://t.co/Ylh7YJvJd2', '@mollie_Apso1 @Sammybluebell @DavidWilding271 @goldenprincessG @The_Monty_Dog @ArchieLakeland Glad you asked Mollie… https://t.co/xals62j9hg', '@casalindi just reading about Tess on your timeline. Please give her a 😘 from Walter and me.']"
KING_DOUGIE13,['We movin this summer and if you are slowing me down you will get dropped off on this road to success']
AfropunkSD,['@god_faced show and prove ask my bih']
Smokey_trance,[]
_meekmilezz_,['Having no shield in fortnite is like having no case on your phone']
zaynink93,"[""Y'all vote Dusk Till Dawn ⬇ https://t.co/4uNJgCPesQ""]"
CindyCoops,"[""To say the least.\nWe've known this for years. Just listen to his dramatic account of racing to Ashcroft's hospital… https://t.co/xMvkwYQJC0"", '@orrell_b @MZHemingway A normal person being told privately by the Director of the FBI that his agency has a docume… https://t.co/yd3ejdYGkH', 'Did we mention Comey is sanctimonious? Yeah, he dialed that up a few notches. https://t.co/7EQiZJxpJg']"
grassy_art,"['New job today. Craig Kellman is my art director… 👀', 'Tomato Oddish. We have salsa https://t.co/FGUtiJmSwm', '@Daily_Hotspur @premierleague Yes, Kane is ""always in front of goal"" – apart from when he\'s in wing positions swing… https://t.co/2lKjmPnlW4', '@henrywinter I think most Spurs fans would agree. Lose Kane; add Sanchez']"
philipdavison,[]
tmj_ksh_cler,"['Join the Sizewise team! See our latest #job opening here: https://t.co/INdQEO5BJF #Clerical #Ellis, KS #Hiring #CareerArc', 'Interested in a #job in #Ellis, KS? This could be a great fit: https://t.co/a4VvhI362W #Clerical #Hiring #CareerArc']"
Entak,"['Striving To Become A Legend! Epic Free To Play Action! - War Robots Gameplay: https://t.co/qu0pA537Ew via @YouTube', ""THE WORLD'S WORST GAMER Becomes A Legend!- Radical Heights Gameplay: https://t.co/6TJMcqJCeI via @YouTube"", ""Don't Bite Me Bro - Free To Play &amp; COMING TO STEAM SOON!? (Don't Bite Me Bro Gameplay) https://t.co/ccxyjcVBdq"", 'Airmech Strike - FREE TO PLAY Mech Game On Steam (Airmech Strike Gameplay) https://t.co/vVeQATCrVW', 'ugh. The yellow icon is back in full force.... reviews seem to be taking longer than usual also.']"
UTotallyRock,"[""@tim_fargo If you love it then it isn't suffering :)"", 'Did you know that according to happiness researcher Shawn Achor: 75% of our job success is predicted not by intelli… https://t.co/MTeJoMWZaE', 'We are big fans of happiness researcher @shawnachor. https://t.co/YEGbeQLGIB', 'Get the positive thinking app that thousands are using and enjoying: https://t.co/163nuururX https://t.co/lO5FwqYa69', 'Get your daily emotional caffeine boost from our free app, You Totally Rock: https://t.co/163nuururX https://t.co/LI2x05Si5j']"
tello_adriana23,['@YoonMin_Rain @yoongisstan @BTS_twt Xdos wey !']
mfdgraham,"['Police how may we help?\n\nEh hullow this is the Resistance here kin we report an Engalish wumin fur war crimes?\n\nNo… https://t.co/rZtpplzjR8', '@BlondeBimboette Nah, it tried to keep up but couldn’t manage it and crashed. Much like Seditious Khants mayoral term.', '@PeterMurrell @IanBlackfordMP You dance to your wife’s tune, so you certainly know about being a puppet. Or is that muppet?']"
NHL_BigFan,"['Live From the Stanley Cup Final: NBC Sports Group â€˜Supersizesâ€™ Coverage in Nashville https://t.co/8nI6Te8zNd', 'â€˜Whiteyâ€™ Bulgerâ€™s Social Security money &amp; Stanley Cup ring thrown into victim fund - The Boston Globe https://t.co/YadphwIIpa', 'Stanley Cup goes through airport security | FOX Sports https://t.co/F9YoncTZDk', 'Fearless prediction:  Tampa Bay Lightning will win the 2018 Stanley Cup! | https://t.co/o2uBjNuZi5 https://t.co/Byaqm3ARlZ', 'NHL power rankings: Lightning, Golden Knights look like Stanley Cup favorites - The Washington Post https://t.co/5HBlYroUQ5']"
MJADetBos,"['OMG!! https://t.co/gJlL1AHnDE', '@euchreman1022 Are you surprised?', '@Tim41779589 @Banks429 @Kaepernick7 He’s quoting Jackie Robinson...wait for it...on Jackie Robinson day. \n\nI take i… https://t.co/XSH5DgUZZo', '@debfairfax @biblebaba53 @czuniga31 @FoxNews @Franklin_Graham So...you’re saying Jesus doesn’t like Trump.']"
Herrrrrbbb,['@JStrama23 Happy Birthday Bro !! 🎉🎉🐞🐢  🎂']
Nick_Brown5,"['I’m getting so hyped to figure out what song I’m gonna play while i record my window in my car while it rains in black &amp; white.', 'Yo i felt this on a new level 😂 https://t.co/e2UwOoFAhz']"
Saturday_Onafa,['that shot of @jessieslife playing the piano in the trailer for#HotSummerNights just put the biggest smile on my face']
highmodern,"['I got the #lyrics for ""Kids in America"" by Kim Wilde on @musixmatch https://t.co/fBzwRNxfSO', ""I used Shazam to discover Goin' So Good by ZZ Top. https://t.co/Ncct9ymsXm"", 'I got the #lyrics for ""Brothers In Arms"" by Dire Straits on Musixmatch https://t.co/y4cAWW9hjp', 'I got the #lyrics for ""Smooth Criminal (Radio Edit)"" by Michael Jackson on @musixmatch https://t.co/oHUwawrUhK', '♫Smooth Criminal Remastered by @michaeljackson, from #SoundHound https://t.co/8RTsTSvs8m']"
Rose_Pales_,"['#ثائرون_فلسطينيون \n\nإن أرواح الشهداء في أجواف طير خضر تعلق في ثمرة الجنة أو شجرة الجنة🌸🎵 https://t.co/bncJnZUJwt', '#ثائرون_فلسطينيون https://t.co/id4pCS2tvx']"
tannerhuckaby,['If you can’t be alone and hop relationship to relationship. You’re a big sign of weakness']
strtspps,['ECB pushes Deutsche to calculate costs of investment bank wind-down https://t.co/VPW2Kdrt98 via @financialtimes']
elliotr76,"[""@PalaceYouth Would love to see him have 45 mins x 2, against Stoke and WBA. Hopefully we'll be safe by then and he… https://t.co/cvA998K5A0"", '@GullGossip @nednatStreboR @OfficialBHAFC Glittery bunting..... Intimidating...... 🤣', '@DannCoops34 Yes, a win next weekend should be enough for us to start thinking about PL fixtures next season. \nLook… https://t.co/sj1aWDULoJ']"
davidmackau,"['@kylegriffin1 at least they waited til our lunch was over', 'Holy fucking shit https://t.co/Fz0AO4VN8r']"
reintroduceme,['@LittlePINGLing right! smh ppl confuse kindness for lust nowadays']
valley_kid1,"[""@TIME Thank goodness that kid did not have access to a gun. Those wounds wouldn't be so superficial"", '@Mediaite .@MeghanMcCain also implied that Paul Ryan was unfairly maligned for planning to ""throw grandmothers over… https://t.co/2uNiXvUcbK']"
SabrinaUnicorn8,"['Wenn du feststellst das die Folge an deinem Geburtstag online kam @Paluten @GermanLetsPlay https://t.co/7W43O8zYUi', '@Frozenolaa Als ob 😂']"
emiily_watson,[]
DoolittleMolly,[]
KimShHsh,"['Поставила рендер в 4к, просто чтобы потестить комп. Вопрос: кто победит - внезапное выключение или скорость рендера', 'Finally #avasdemon #nevynervine https://t.co/m7ruoqVe1F', 'Половина ленты в инсте на коачелле тусят. Ты сидишь в общаге за дипломом и радуешься, когда на тебя подует теплый ветер из форточки']"
hereandnow,"['“James Comey has a story to tell. He has color to add to what we know,” @DKThomp says. “But the substance, the bone… https://t.co/X0rrvEpixg', 'The marijuana industry is ""one of the fastest growing industries in America,"" says Bill Marcus of Green Table, a co… https://t.co/R6lUorPYNf', 'Leonard Bernstein’s second symphony, “The Age Of Anxiety,” still resonates today, @franhoepfner says. What was happ… https://t.co/L1y2sX6ibg', '“I think that there’s a great conversation in this idea that if every piece of packaging or bottle was $5, we know… https://t.co/hlkIP6rTWg', ""“I'm an American, very proud of it,” former U.S. envoy George Mitchell says. “But a large part of my heart and of m… https://t.co/5Dri6Qoljv""]"
robesposito,['This is Democrat porn. https://t.co/Q8pKEx9gVV']
Supr_Rain,"['winning streak feels', 'one game pa nga hahahaha', 'wth blocked ako? HAHAHAHA Ampalaya', 'laging 2:30 tapos ng laro ko hahahaha', 'Napakasakit ng katawan koooooooo']"
donald8drink,[]
ResistanceGold1,"['@DavidWerwie @sawsanoor @GMA @ABC @RobinRoberts Logic wins', '@Starbucks Good job @Starbucks . My girlfriend and I will be going there again. \n\nMeanwhile, your fired managers.… https://t.co/9Gflj4rYBm', '@DavidWerwie @sawsanoor @GMA @ABC @RobinRoberts Logic: Boycott gets the manager fired.\nBoycott sends a message not to do it again.', '@GMA @RobinRoberts The ""WHOLE"" picture\n\nnot the ""FOX"" picture\n\nWhich WILL Be.. and I can guarantee it\n\n1.  A looped… https://t.co/PRhzGBsteh', '@Starbucks Black manager calls police because two white guys are sitting and not leaving before purchasing...\n\nBlac… https://t.co/eEb348MX9R']"
